Id,SalePrice
1461,122641.37279415825
1462,161434.78853947745
1463,184899.4440636202
1464,190836.4630255563
1465,184593.76152031164
1466,174397.1631086138
1467,171733.06751711605
1468,168858.97670280118
1469,179117.09106541227
1470,126757.1764888276
1471,203383.54120071643
1472,92968.51953870466
1473,95911.82986167388
1474,151409.3864219281
1475,119796.19009548068
1476,367003.69200770254
1477,247817.25795681385
1478,284096.1789080211
1479,275774.6419635659
1480,474235.9905212341
1481,330406.41653524013
1482,204071.1825203356
1483,175224.4904089321
1484,165915.4181656004
1485,176216.77776431444
1486,197051.89273379347
1487,333492.9074354023
1488,233990.30086275542
1489,202953.51271026535
1490,218819.56770617928
1491,191473.13019828187
1492,94005.93576563694
1493,172597.4184525813
1494,286425.57467256184
1495,286202.4579963744
1496,236689.73602139472
1497,183611.77073664352
1498,160066.4200756179
1499,154965.82683336537
1500,151055.82791113073
1501,176652.6294483912
1502,149808.96493570792
1503,296126.7510319226
1504,240480.20257915382
1505,224379.64151808855
1506,189090.2882906917
1507,242591.6937446615
1508,197073.71155073255
1509,164548.70185971435
1510,148127.1797220744
1511,144804.28468161554
1512,174835.85766438552
1513,140674.00827813853
1514,154343.11409219872
1515,191288.0312777402
1516,149273.40235322464
1517,160984.17687687208
1518,132169.13303385695
1519,227710.07741435608
1520,136702.46898895357
1521,136957.70457671187
1522,164961.48648566852
1523,115934.75841880242
1524,125005.96620716449
1525,122038.5883523844
1526,118761.82270823125
1527,103137.51950639024
1528,128503.90773494
1529,149358.34499047822
1530,168049.49753919063
1531,111593.31286879432
1532,100927.92849286513
1533,151891.9653629735
1534,116683.01406704774
1535,154653.39349928475
1536,112238.66124892261
1537,66875.57893989803
1538,156892.41799138393
1539,189772.68916912345
1540,100083.74416231934
1541,143022.0358563423
1542,142205.97895666945
1543,222276.15905039222
1544,83320.79777935136
1545,105428.44691462217
1546,128751.8680537826
1547,135796.83389419224
1548,132664.19404693076
1549,111065.50396538363
1550,141449.97612221137
1551,115712.02043541853
1552,131226.89864184434
1553,149496.7048667029
1554,114994.26746285011
1555,173631.72817545515
1556,87770.25252791468
1557,103806.50954702764
1558,89251.31012293874
1559,87921.16807799976
1560,133269.3166142876
1561,136560.6203219822
1562,130854.63274248104
1563,121819.3862526182
1564,159915.7673979756
1565,146548.50302802876
1566,232070.70431010326
1567,74331.79703746412
1568,225455.55996464862
1569,141627.7876441143
1570,139971.28074406326
1571,115914.42054065588
1572,148639.72318985936
1573,244408.11739236998
1574,113014.5149170798
1575,219660.81258768155
1576,232183.54078279086
1577,195850.10570292795
1578,136774.44196144622
1579,146579.11022381112
1580,193147.03273334488
1581,148612.68885523727
1582,130167.5072258988
1583,327490.02893225884
1584,228696.30574564688
1585,141525.04387052474
1586,72213.1330512639
1587,98285.99798550247
1588,149170.14382022613
1589,97193.62832098057
1590,136220.66546637323
1591,98121.85579019465
1592,119338.71412654032
1593,123612.47921779638
1594,129998.76728217582
1595,115121.44449727566
1596,240270.1337305263
1597,172224.0548095854
1598,194301.71724212583
1599,174754.19548670552
1600,174825.17327335858
1601,66004.09127612747
1602,111759.93621060606
1603,83547.5895929377
1604,269690.34284409916
1605,245262.9404015449
1606,169794.61959193804
1607,167528.81435091945
1608,216908.88138543392
1609,192262.97604393517
1610,157320.79143306735
1611,142525.70123499958
1612,169718.26384013824
1613,166746.65863334318
1614,123249.7160452455
1615,86420.24915806833
1616,75914.05698080972
1617,89744.29098885818
1618,123949.86685819157
